WeatherPy_Database.csv,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,Inhambane,-23.865,35.3833,89.6,58,40,4.61,MZ,2021-02-07 09:31:33
126,New Norfolk,-42.7826,147.0587,57.99,54,4,1.01,AU,2021-02-07 09:31:33
127,Nome,64.5011,-165.4064,10.4,85,90,3.49,US,2021-02-07 09:31:44
128,Hofn,64.2539,-15.2082,34.14,90,100,16.33,IS,2021-02-07 09:35:20
129,Bengkulu,-3.8004,102.2655,85.26,68,100,12.3,ID,2021-02-07 09:27:00
130,Mahebourg,-20.4081,57.7,87.8,62,40,14.97,MU,2021-02-07 09:32:01
131,Wachtersbach,50.2551,9.2956,37.0,93,100,10.94,DE,2021-02-07 09:35:20
132,Grand Gaube,-20.0064,57.6608,84.99,72,44,10.0,MU,2021-02-07 09:32:30
133,Chokurdakh,70.6333,147.9167,-27.78,84,0,4.74,RU,2021-02-07 09:31:22
134,Pisco,-13.7,-76.2167,71.6,83,100,0.87,PE,2021-02-07 09:31:43
135,Akyab,20.15,92.9,81.27,41,0,21.21,MM,2021-02-07 09:31:53
136,Bonnyville,54.2668,-110.735,-32.8,75,1,2.51,CA,2021-02-07 09:35:21
137,Bathsheba,13.2167,-59.5167,78.8,69,75,20.71,BB,2021-02-07 09:32:44
138,Kloulklubed,7.0419,134.2556,80.6,89,90,6.91,PW,2021-02-07 09:32:34
139,Eyl,7.9803,49.8164,85.28,47,35,19.13,SO,2021-02-07 09:32:32
140,Bakchar,57.0186,82.0711,32.72,94,95,17.83,RU,2021-02-07 09:35:21
141,Sao Jose Da Coroa Grande,-8.8978,-35.1478,80.13,76,43,8.86,BR,2021-02-07 09:35:21
142,Tasiilaq,65.6145,-37.6368,32.0,55,20,17.27,GL,2021-02-07 09:31:58
143,Cabo San Lucas,22.8909,-109.9124,57.99,72,53,4.18,MX,2021-02-07 09:32:10
144,Valparaiso,-33.0393,-71.6273,60.8,88,90,3.44,CL,2021-02-07 09:35:22
145,Unguia,8.0434,-77.0945,75.61,89,100,1.66,CO,2021-02-07 09:35:22
